edge,node_i,node_j,x_i_flat_mm,y_i_flat_mm,x_j_flat_mm,y_j_flat_mm,rest_length_mm,direct_stretch,relaxed_stretch,relaxed_strain_pct,boundary_edge,x_i_relaxed_mm,y_i_relaxed_mm,z_i_relaxed_mm,x_j_relaxed_mm,y_j_relaxed_mm,z_j_relaxed_mm
30,23,24,8.881784197001252e-16,-31.795133072411417,8.881784197001252e-16,-36.41393522592843,4.618802153517009,1.5477421448759345,1.066705533502308,6.67055335023079,True,0.016469619026517054,-33.7962252535142,15.995526523166426,0.006776426841466254,-36.782007107979155,19.914630280056247
31,23,26,8.881784197001252e-16,-31.795133072411417,3.9999932183159728,-29.485731995652916,4.618796280407601,1.0641768327518506,1.1767599996138454,17.675999961384537,False,0.016469619026517054,-33.7962252535142,15.995526523166426,5.296000455493233,-32.662715503053484,15.376439512354645
32,24,25,8.881784197001252e-16,-36.41393522592843,-3.9999999999999996,-38.72333630268693,4.618802153517007,1.406091511674416,1.1111139622696422,11.11139622696422,True,0.006776426841466254,-36.782007107979155,19.914630280056247,-3.861705578602646,-38.267718393566845,22.942020686877072
33,24,29,8.881784197001252e-16,-36.41393522592843,3.9999932183159728,-38.72333630268693,4.618796280407603,1.4060926515250964,1.110097349241661,11.009734924166104,True,0.006776426841466254,-36.782007107979155,19.914630280056247,3.8638546063719317,-38.27002114479276,22.94746821639938
34,26,27,3.9999932183159728,-29.485731995652916,7.999993218315973,-31.795133072411417,4.618802153517005,1.1978981459882183,1.212491904821858,21.24919048218581,False,5.296000455493233,-32.662715503053484,15.376439512354645,9.72687517249632,-34.00125394255591,18.528990643165905
35,26,47,3.9999932183159728,-29.485731995652916,4.000000000000001,-24.86692567495048,4.6188063207074155,1.203706786878886,1.1511483041365997,15.114830413659973,False,5.296000455493233,-32.662715503053484,15.376439512354645,5.355338461474895,-28.689070851488893,11.844247117375563
36,27,28,7.999993218315973,-31.795133072411417,7.999993218315973,-36.41393522592843,4.618802153517009,1.620455545627854,1.0969746319609117,9.69746319609117,True,9.72687517249632,-34.00125394255591,18.528990643165905,8.486615257195696,-36.98995858761257,22.427828659120387
37,27,30,7.999993218315973,-31.795133072411417,12.0,-29.485731995652916,4.618808026628898,1.004271037858279,1.1943502381291082,19.435023812910824,False,9.72687517249632,-34.00125394255591,18.528990643165905,14.825673306126651,-32.71911716375121,20.199282058522908
38,28,29,7.999993218315973,-36.41393522592843,3.9999932183159728,-38.72333630268693,4.618802153517007,1.1657530399838247,1.0445954985944694,4.459549859446943,True,8.486615257195696,-36.98995858761257,22.427828659120387,3.8638546063719317,-38.27002114479276,22.94746821639938
39,28,33,7.999993218315973,-36.41393522592843,12.0,-38.72333630268693,4.618808026628899,2.0820009607365173,1.2667257264581417,26.672572645814174,True,8.486615257195696,-36.98995858761257,22.427828659120387,11.835060148881842,-37.97320267013154,27.12384558973138
40,30,31,12.0,-29.485731995652916,16.0,-31.795133072411417,4.618802153517005,1.497684978302957,1.3088530284926971,30.885302849269713,False,14.825673306126651,-32.71911716375121,20.199282058522908,17.697443623238776,-34.016242538011106,25.358395775692514
