edge,node_i,node_j,x_i_flat_mm,y_i_flat_mm,x_j_flat_mm,y_j_flat_mm,rest_length_mm,direct_stretch,relaxed_stretch,relaxed_strain_pct,boundary_edge,x_i_relaxed_mm,y_i_relaxed_mm,z_i_relaxed_mm,x_j_relaxed_mm,y_j_relaxed_mm,z_j_relaxed_mm
87,61,62,23.999998092651367,-5.1552862706536065,23.999998092651367,-9.774088424170612,4.618802153517006,1.511788647823448,1.1432741978348904,14.327419783489038,True,24.119581249932388,-5.180227278257116,19.883905533601038,23.489548280650343,-9.244443968750746,16.571883970525462
88,61,79,23.999998092651367,-5.1552862706536065,27.999998092651367,-2.845888656104206,4.618800422413428,1.4957595350584196,1.1345759500505341,13.457595005053413,True,24.119581249932388,-5.180227278257116,19.883905533601038,27.32033288906465,-2.6514801987328056,16.594193021638766
89,63,64,-24.000000211927624,4.082314574171304,-20.000000211927624,1.7729134974127998,4.618802153517007,1.2167517870380602,1.1809281602990993,18.09281602990993,False,-25.942281105736125,4.457155829444509,22.30017595758649,-22.382600186319873,2.286263136901121,25.81687585354062
90,63,66,-24.000000211927624,4.082314574171304,-28.000000211927624,1.7729134974127998,4.618802153517007,1.7135075512231388,1.1892586146178745,18.925861461787452,True,-25.942281105736125,4.457155829444509,22.30017595758649,-28.171463198453434,1.9762558858775914,17.935730389174417
91,63,81,-24.000000211927624,4.082314574171304,-24.000000211927897,8.701117080176472,4.618802506005168,1.006489496035568,1.1634924598348768,16.34924598348768,False,-25.942281105736125,4.457155829444509,22.30017595758649,-26.19341519108958,9.82362272674364,22.431386246443054
92,64,67,-20.000000211927624,1.7729134974127998,-16.000001907348633,4.082314574171304,4.61880068523942,1.2222374766645034,1.2298922226047984,22.989222260479835,False,-22.382600186319873,2.286263136901121,25.81687585354062,-19.057260878943104,5.353636354589315,29.2524054499656
93,65,66,-28.000000211927624,-2.845888656104206,-28.000000211927624,1.7729134974127998,4.618802153517006,1.2145213926593497,1.0561180974746809,5.611809747468088,True,-27.32478776964695,-2.642221246408936,16.61372471817399,-28.171463198453434,1.9762558858775914,17.935730389174417
94,66,82,-28.000000211927624,1.7729134974127998,-32.0000002119279,4.082314926659466,4.618802329761334,2.7557032021616377,1.2057010434197404,20.570104341974037,True,-28.171463198453434,1.9762558858775914,17.935730389174417,-30.561968315009292,4.136305397451172,13.393455567138409
95,67,68,-16.000001907348633,4.082314574171304,-12.000001907348633,1.7729134974127998,4.618802153517007,1.0497617494132734,1.238224735941196,23.822473594119597,False,-19.057260878943104,5.353636354589315,29.2524054499656,-14.60330950025762,2.554705864934747,31.496638613709838
96,67,85,-16.000001907348633,4.082314574171304,-16.000001907348633,8.701117080176472,4.618802506005168,1.0040417061016096,1.254104228057628,25.4104228057628,False,-19.057260878943104,5.353636354589315,29.2524054499656,-19.572877531925684,11.118341316926076,29.01808486760021
97,68,69,-12.000001907348633,1.7729134974127998,-8.000001907348633,4.082314574171304,4.618802153517007,1.0708169868268453,1.267247757257206,26.724775725720605,False,-14.60330950025762,2.554705864934747,31.496638613709838,-10.221888771973441,5.6535775775576536,33.833240115956265
98,69,70,-8.000001907348633,4.082314574171304,-4.000001907348632,1.7729134974127998,4.618802153517007,1.002398919389133,1.2713252270154234,27.13252270154234,False,-10.221888771973441,5.6535775775576536,33.833240115956265,-5.148649715241582,2.8109951686295243,34.647089706327186
