cell,x0_mm,y0_mm,z_direct_mm,direct_edge_stretch_max,direct_edge_stretch_mean,x_relaxed_mm,y_relaxed_mm,z_relaxed_mm,relaxed_edge_stretch_max,relaxed_edge_stretch_mean,xy_shift_mm,boundary_cell,candidate_hex_side_mm,candidate_ligament_gap_mm,candidate_hole_scale
43,-28.000000211927627,20.248126983642578,15.332627543486211,1.6829010758550782,1.4067263028982986,-26.71470273465411,19.651879719294527,18.33592930288444,1.1234154235795588,1.0689342738647838,1.416862874567684,True,3.629479574265788,1.7135569723381971,0.907369893566447
44,-20.000001907348633,20.248126983642578,26.161197915003388,1.6829010758550782,1.2899620908643192,-20.770730856621913,21.39694266305754,24.847142791303842,1.1272911267571326,1.088552702540848,1.3834018138334057,False,3.617843855246857,1.733710628861581,0.9044609638117143
45,-12.000001907348633,20.248126983642578,31.138476196179397,1.2758682234063674,1.1014704117422214,-13.250099146597007,22.516334271404652,29.53686111256063,1.1498475769350611,1.1157056566811459,2.5898855974412056,False,3.5501243978194723,1.8510041697868092,0.8875310994548681
46,-4.000001907348633,20.248126983642578,33.3329267876378,1.148400357336958,1.0509987793454854,-4.5797365614596,23.063766277679985,32.034362863876225,1.141109045558201,1.1281210188952258,2.874702924356642,False,3.576359403721784,1.805563806627136,0.894089850930446
47,3.999998092651367,20.248126983642578,33.33279247830869,1.1480743399296092,1.0509293702181293,4.425183815069263,23.089728739408823,32.04693323366833,1.1437126247259002,1.1277584460021004,2.873235708556093,False,3.56854288262848,1.8191024182991722,0.89213572065712
48,19.999998092651367,20.248126983642578,26.156835000942237,1.6832733906723418,1.2895455089987906,20.658959110594,21.457924754810094,24.91953220754132,1.1296624024683735,1.0884854486600413,1.3776212361494289,False,3.610724760561777,1.7460412625600332,0.9026811901404442
49,27.999998092651367,20.248126983642578,15.324559353797913,1.6832733906723418,1.4070939295167773,26.673956510845265,19.621623959826998,18.429495007913378,1.1296624024683735,1.0713585901107971,1.466592075366867,True,3.610724760561777,1.7460412625600332,0.9026811901404442
50,-24.000000211927624,27.176334381103516,15.433022659920919,1.6728235153065558,1.3852320164925191,-23.038587542744253,26.537907473575068,17.90268447079407,1.1166225541002677,1.0406419388784138,1.1540811222451528,True,3.64987327238247,1.6782340510458829,0.9124683180956175
51,-16.000001907348633,27.176334381103516,24.79956630908154,2.2764767762093525,1.3998406740707363,-16.603472536347102,28.35239782167832,23.26686188595114,1.1714948537273375,1.088854025585538,1.3218555202140867,False,3.4851344801866078,1.9635700091066468,0.8712836200466519
52,-8.000001907348633,27.176334381103516,28.81576896701657,1.4987552726057454,1.1716976884662866,-8.686303208648004,29.307437984970562,26.92448607050256,1.131633863845035,1.0968714002652376,2.2388863407016277,False,3.6048059970279125,1.7562928617186726,0.9012014992569781
53,1.4834933810763887e-06,27.176334381103516,30.026330819224082,1.3037832611675395,1.132228926449211,-0.06671494485837512,29.757988182681864,28.08491005903953,1.1234575632073631,1.1098565902767346,2.5825157178642595,False,3.629353061773415,1.7137760984027794,0.9073382654433537
54,7.999998092651367,27.176334381103516,28.82094158021261,1.5003180583549403,1.1721974461242974,8.562263624891003,29.350306912686396,26.9341604448597,1.1350291820155693,1.0972922834304562,2.245506423242115,False,3.5946125001572518,1.7739485162054516,0.8986531250393129
55,15.999998092651367,27.176334381103516,24.79140281905306,2.432728052841961,1.425567166440523,16.526875739208943,28.387222173789002,23.300617965877613,1.1703839268533343,1.089637899373405,1.3205488635097076,False,3.488469728621338,1.957793189361829,0.8721174321553345
56,23.999998092651367,27.176334381103516,15.46434996974094,1.6692491434781438,1.414177091124006,23.02579842966536,26.519231007829543,17.962838055741194,1.1153353688540049,1.04144866410584,1.1750956669693247,True,3.6537376874742886,1.671540687765317,0.9134344218685722
57,-20.000001907348633,34.10452651977539,8.438957089851288,2.2764767762093525,1.783442512844287,-18.707413869697152,32.678772765321156,15.223895263058896,1.1714948537273375,1.0787808280351625,1.9244629389572694,True,3.4851344801866078,1.9635700091066468,0.8712836200466519
58,-12.000001907348633,34.10452651977539,19.884872037811984,2.262677568694283,1.5540400967166623,-11.826241864013012,34.05499685139732,20.092545364465447,1.1115454728744376,1.055929283838481,0.1806813236326283,False,3.6651157942871087,1.651833228671567,0.9162789485717772
59,-4.000001907348633,34.10452651977539,23.345779127554465,2.6554833822697215,1.4518561882938255,-4.249072763137713,34.970772024184974,22.15314589730633,1.1918635545770302,1.0850992925927216,0.9013420910582833,False,3.42398313060982,2.0694872535250486,0.855995782652455
60,3.999998092651367,34.10452651977539,23.33377344928224,2.5481861272846142,1.4308279465378866,4.145470671671867,34.98523317489862,22.147235753414243,1.1923935539687962,1.0861120752236448,0.8926401758968827,False,3.4223919550939867,2.0722432503622317,0.8555979887734967
61,11.999998092651367,34.10452651977539,19.87326694264665,2.1589525354225687,1.562389998059837,11.757431718014665,34.072911822637714,20.09654139718743,1.1128884214321815,1.0578677321410326,0.24461793715813232,False,3.661083965388238,1.658816561171835,0.9152709913470595
62,19.999998092651367,34.10452651977539,7.049873742047395,2.432728052841961,1.9244387964084735,18.70856831822398,32.649104192802824,15.254284953755215,1.1703839268533343,1.0802164686887064,1.945776197852111,True,3.488469728621338,1.957793189361829,0.8721174321553345
63,-8.00918120425204,41.027240227037815,3.666179029768964,2.6554833822697215,2.4590804754820024,-7.491912902860919,38.68514649774444,13.992366859617704,1.1918635545770302,1.1465636677129107,2.3985348720457247,True,3.42398313060982,2.0694872535250486,0.855995782652455
64,8.009177389554772,41.027240227037815,4.583991053644083,2.5481861272846142,2.3535693313535915,7.433594769170562,38.70494685093588,14.002068768020834,1.1923935539687962,1.146320158387725,2.392559691538596,True,3.4223919550939867,2.0722432503622317,0.8555979887734967
